id_cliente;nome_fantasia;tipo_profissional;bairro;zona;cep;latitude;longitude;canal_venda;data_cadastro;data_ultima_compra;qtd_pedidos_12m;faturamento_12m;ja_visitado;obs_visita
CLI-0158;Harmonia Consultório de Nutrição;Nutricionista;Carapicuíba;Oeste (fora RMSP central);05728-333;-23.513606;-46.828885;Loja Física;2023-08-29;2025-03-29;17;35079;Sim;
CLI-0159;Cuidar Clínica Médica;Consultório Médico;São Miguel Paulista;Leste;07936-403;-23.513477;-46.427909;Distribuidor;2024-04-16;2025-09-06;22;17314;Não;
CLI-0160;Saúde Plena Distribuidora;Distribuidor de Suplementos;Mogi das Cruzes;Leste (fora RMSP central);08624-830;-23.540085;-46.175436;Indicacao;2024-07-14;2025-08-14;9;85;Não;
CLI-0161;BemStar Nutrição;Nutricionista;Moema;Sul;;-23.596559;-46.654868;Loja Física;2026-01-05;;0;0;Não;
CLI-0162;Movimento Drogaria;Farmácia;Bela Vista;Centro;07575-724;-23.568991;-46.665677;Distribuidor;2023-07-09;2025-05-27;25;66068;Não;
CLI-0163;Bioforma Nutrição;Nutricionista;Perus;Norte (fora RMSP central);06506-776;-23.395128;-46.738961;Indicação;2024-06-27;2024-09-27;18;8759;Sim;Retorno positivo
CLI-0164;Prisma Nutrição;Nutricionista;Perus;Norte (fora RMSP central);08691-183;-23.399575;-46.734395;Indicação;2024-03-19;2024-08-25;24;3481;Não;
CLI-0165;Ápice Treinamento Funcional;Academia / Personal Trainer;Osasco;Oeste (fora RMSP central);02288-109;-23.521589;-46.802106;Indicação;2023-12-23;2024-11-25;20;7971;Não;
CLI-0166;Equilíbrio Drogaria;Farmácia;Vila Ré;Leste;04499-743;-23.518235;-46.515619;Loja Física;2023-11-28;2024-10-18;25;419;Sim;Retorno positivo
CLI-0167;Viva Drogaria;Farmácia;Santo André;Sul (ABC);;-23.666791;-46.535425;Indicação;2025-09-06;2024-08-22;3;7841;Sim;Retorno positivo
CLI-0168;Equilíbrio Consultório de Nutrição;Nutricionista;Guaianases;Leste;05388-823;-23.547302;-46.419036;Marketplace;2024-08-07;2025-05-28;10;170;Não;
CLI-0169;Foco Estética;Clínica Estética;Guarulhos;Norte (fora RMSP central);08935-299;-23.446229;-46.516708;Distribuidor;2024-04-28;2025-03-17;23;44294;Não;
CLI-0170;BemStar Consultório de Nutrição;Nutricionista;Liberdade;Centro;01624-467;-23.567148;-46.626711;Distribuidor;2024-04-07;2025-04-13;16;44415;Sim;
CLI-0171;Viva Distribuidora;Distribuidor de Suplementos;Itaquaquecetuba;Leste (fora RMSP central);07063-465;-23.502401;-46.359836;Loja Física;2025-06-17;;0;0;Não;
CLI-0172;Vitalis Clínica Médica;Consultório Médico;Perus;Norte (fora RMSP central);05830-595;-23.399721;-46.733606;Marketplace;2026-02-11;2025-06-29;22;22255;Sim;Aumentou pedido
CLI-0173;Raiz Nutrição;Nutricionista;itaquaquecetuba  ;Leste (fora RMSP central);07587-564;-23.482139;-46.333169;Marketplace;2026-06-21;2025-03-21;26;5395;Não;
CLI-0174;Vitalis House Nutrition;Loja de Suplementos;Cotia;Oeste (fora RMSP central);;-23.613574;-46.909822;Marketplace;2023-10-13;2025-04-04;17;181;Não;
CLI-0175;Novo Ciclo Suplementos;Loja de Suplementos;Itaquaquecetuba;Leste (fora RMSP central);08950-473;-23.495319;-46.350454;Distribuidor;2025-11-05;2025-03-19;19;10069;Sim;Aumentou pedido
CLI-0176;Harmonia Suplementos;Loja de Suplementos;Osasco;Oeste (fora RMSP central);07548-265;-23.544786;-46.792896;Indicação;2024-03-31;2024-07-28;15;45901;Não;
CLI-0177;Pura Espaço Estético;Clínica Estética;Sé;Centro;04112-573;-23.546871;-46.625571;Marketplace;2025-12-25;2024-12-10;9;6269;Não;
CLI-0178;Origem Academia;Academia / Personal Trainer;Liberdade;Centro;;-23.567299;-46.647600;Loja Física;2024-08-27;2025-09-17;23;73612;Não;
CLI-0179;Bioforma Clínica Médica;Consultório Médico;São Miguel Paulista;Leste;06423-730;-23.492523;-46.432539;Distribuidor;2025-12-23;2024-08-08;30;28210;Não;
CLI-0180;Vitalis House Nutrition;Loja de Suplementos;Osasco;Oeste (fora RMSP central);01804-129;-23.527544;-46.787422;Indicação;2026-05-28;2026-02-24;22;8209;Não;
CLI-0181;Ápice Suplementos;Loja de Suplementos;Tucuruvi;Norte;01609-799;-23.490307;-46.593983;Marketplace;2024-03-03;;0;0;Não;
CLI-0182;Nutrivida Academia;Academia / Personal Trainer;Cotia;Oeste (fora RMSP central);07602-723;-23.597361;-46.926524;Indicação;2025-06-12;2025-07-17;21;485;Não;
CLI-0183;Ápice Clínica Médica;Consultório Médico;Campo Belo;Sul;05934-902;-23.631167;-46.678532;Loja Física;2024-12-03;2026-05-23;30;1726;Não;
CLI-0184;Viva Treinamento Funcional;Academia / Personal Trainer;Perus;Norte (fora RMSP central);08087-651;-23.410194;-46.758987;Distribuidor;2024-07-30;2026-02-25;25;51294;Sim;Sem retorno
CLI-0185;Raiz Suplementos;Loja de Suplementos;jabaquara  ;Sul;06431-265;-23.663071;-46.631271;Distribuidor;2026-01-24;;0;0;Não;
CLI-0186;Renove Distribuidora;Distribuidor de Suplementos;São Miguel Paulista;Leste;02138-873;-23.507842;-46.446673;Indicação;2026-01-15;2026-02-17;3;1245;Não;
CLI-0187;Equilíbrio Distribuidora;Distribuidor de Suplementos;Guaianases;Leste;08853-592;-23.537813;-46.408986;Marketplace;2025-07-04;2025-11-24;29;2169;Não;
CLI-0188;Saúde Plena House Nutrition;Loja de Suplementos;Sé;Centro;01233-956;-23.555418;-46.617110;Distribuidor;2025-08-19;;0;0;Não;
CLI-0189;BemStar Treinamento Funcional;Academia / Personal Trainer;Ipiranga;Sul;05338-167;-23.606793;-46.621403;Indicação;2025-07-17;2024-11-26;8;19540;Não;
CLI-0190;Harmonia Farmácia;Farmácia;Perus;Norte (fora RMSP central);01645-954;-23.384409;-46.729769;Distribuidor;2024-01-27;2025-11-06;16;5311;Não;
CLI-0191;Pura Farmácia;Farmácia;Diadema;Sul (ABC);07435-063;-23.689479;-46.630421;distribuidor;2025-11-23;2026-07-04;24;11326;Não;
CLI-0192;Foco Clínica Médica;Consultório Médico;Bela Vista;Centro;08927-486;-23.569249;-46.657600;Loja Física;2025-12-10;2025-11-20;8;11582;Não;
CLI-0193;Origem Suplementos;Loja de Suplementos;Sé;Centro;05974-977;-23.546184;-46.645203;Marketplace;2024-03-04;2025-10-20;23;38908;Não;
CLI-0194;Renove Suplementos;Loja de Suplementos;Carapicuíba;Oeste (fora RMSP central);07359-350;-23.516040;-46.842023;Indicação;2024-10-21;2026-06-21;12;23474;Sim;Aumentou pedido
CLI-0195;Vitalis Consultório Médico;Consultório Médico;Jabaquara;Sul;05696-820;-23.656166;-46.643311;Loja Física;2023-07-28;2025-12-12;5;2859;Não;
CLI-0196;Renove Clínica de Estética;Clínica Estética;Itaquaquecetuba;Leste (fora RMSP central);02155-624;-23.487438;-46.360518;Loja Física;2024-12-08;;0;0;Não;
CLI-0197;Origem Treinamento Funcional;Academia / Personal Trainer;Santo Amaro;Sul;03858-890;-23.645333;-46.699953;Distribuidor;2026-03-14;2026-04-12;21;54372;Sim;
CLI-0198;Movimento House Nutrition;Loja de Suplementos;Mogi das Cruzes;Leste (fora RMSP central);03915-669;-23.519929;-46.195091;Distribuidor;2024-07-19;2026-01-13;30;1957;Não;
CLI-0199;BemStar Drogaria;Farmácia;Carapicuíba;Oeste (fora RMSP central);02048-278;-23.524226;-46.843093;Loja Física;2025-06-24;;0;0;Não;
CLI-0200;Bioforma Nutrição;Nutricionista;itaquaquecetuba  ;Leste (fora RMSP central);02653-380;-23.491962;-46.346023;Loja Física;2023-10-31;2026-07-06;23;13780;Não;
CLI-0201;Viva Drogaria;Farmácia;Vila Mariana;Sul;;-23.579166;-46.649260;Loja Física;2024-10-15;2026-05-24;18;2889;Sim;Sem retorno
CLI-0202;Pura Treinamento Funcional;Academia / Personal Trainer;Santo André;Sul (ABC);01410-409;-23.651381;-46.524496;Loja Física;2023-11-12;2024-09-30;1;158;Não;
CLI-0203;Cuidar Studio Fitness;Academia / Personal Trainer;Tatuapé;Leste;02007-542;-23.535629;-46.588667;Loja Física;2024-05-03;2025-08-21;9;59415;Sim;Retorno positivo
CLI-0204;Foco Consultório Médico;Consultório Médico;Guarulhos;Norte (fora RMSP central);02946-999;-23.467185;-46.526951;Marketplace;2024-03-04;2024-09-27;11;2481;Sim;
CLI-0205;Ápice Treinamento Funcional;Academia / Personal Trainer;São Bernardo do Campo;Sul (ABC);01728-133;-23.696011;-46.571060;Marketplace;2025-12-11;2024-11-04;28;58166;Sim;Sem retorno
CLI-0206;Renove Studio Fitness;Academia / Personal Trainer;Sé;Centro;07670-083;-23.541289;-46.648214;Indicação;2023-09-12;;0;0;Não;
CLI-0207;Origem Clínica Médica;Consultório Médico;Liberdade;Centro;06592-391;-23.561191;-46.645074;Distribuidor;2026-06-21;;0;0;Não;
CLI-0208;Vitalis Nutrição;Nutricionista;Mogi das Cruzes;Leste (fora RMSP central);07787-086;-23.510203;-46.182748;Distribuidor;2025-04-29;2024-11-20;24;2220;Não;
CLI-0209;Alma Distribuidora;Distribuidor de Suplementos;Cotia;Oeste (fora RMSP central);06300-013;-23.618929;-46.911458;Distribuidor;2023-09-04;2025-04-06;15;342;Não;
CLI-0210;Vitalis Consultório Médico;Consultório Médico;Mogi das Cruzes;Leste (fora RMSP central);04827-980;-23.536612;-46.179744;Marketplace;2024-07-24;2026-05-01;16;4184;Sim;Retorno positivo
CLI-0211;Raiz Treinamento Funcional;Academia / Personal Trainer;Campo Belo;Sul;04544-398;-23.620985;-46.675591;Indicação;2024-07-16;2026-02-09;10;52412;Não;
CLI-0212;Cuidar House Nutrition;Loja de Suplementos;Moema;Sul;06175-932;-23.612673;-46.674439;Distribuidor;2025-03-14;2026-05-02;16;40373;Não;
CLI-0213;Renove Academia;Academia / Personal Trainer;Campo Belo;Sul;07176-180;-23.637863;-46.654502;Loja Física;2023-07-18;2025-06-26;9;6393;Sim;Retorno positivo
CLI-0214;Essência Clínica Médica;Consultório Médico;Osasco;Oeste (fora RMSP central);01799-639;-23.531991;-46.792368;Marketplace;2025-05-15;2025-11-12;27;655;Não;
CLI-0215;Saúde Plena Farmácia;Farmácia;Pinheiros;Oeste;05040-942;-23.560935;-46.702633;Indicação;2025-08-21;2025-11-29;28;589;Sim;Retorno positivo
CLI-0216;Harmonia Clínica Médica;Consultório Médico;Carapicuíba;Oeste (fora RMSP central);08243-867;-23.526104;-46.821049;Indicação;2024-03-27;;0;0;Não;
CLI-0217;Prisma House Nutrition;Loja de Suplementos;Santo André;Sul (ABC);06230-930;-23.679237;-46.549390;Indicação;2026-01-30;2026-06-04;21;1393;Não;
CLI-0218;Origem Consultório Médico;Consultório Médico;Bela Vista;Centro;03550-981;-23.570969;-46.662605;Loja Física;2024-01-03;2025-05-04;3;16064;Não;
CLI-0219;Essência Consultório de Nutrição;Nutricionista;liberdade  ;Centro;06371-183;-23.562722;-46.621251;Distribuidor;2023-09-16;2024-12-19;30;6576;Sim;Aumentou pedido
CLI-0220;Pura Atacado de Suplementos;Distribuidor de Suplementos;Pinheiros;Oeste;05637-266;-23.545501;-46.698038;Distribuidor;2024-06-14;2026-03-15;4;33105;Não;
CLI-0221;Vitalis Atacado de Suplementos;Distribuidor de Suplementos;Perus;Norte (fora RMSP central);01839-121;-23.396111;-46.728579;Loja Física;2024-12-10;2025-07-22;8;16382;Não;
CLI-0222;Essência Distribuidora;Distribuidor de Suplementos;Vila Mariana;Sul;;-23.594606;-46.643300;Indicacao;2025-09-19;;0;0;Não;
CLI-0223;Foco Clínica Nutricional;Nutricionista;Sé;Centro;;-23.540216;-46.616968;Distribuidor;2025-08-01;2026-04-17;19;5903;Não;
CLI-0016;Vitalis Suplementos;Loja de Suplementos;Guaianases;Leste;01359-458;-23.548904;-46.430344;Loja Física;2025-01-23;2024-10-06;29;4442;Não;
CLI-0225;Foco Distribuidora;Distribuidor de Suplementos;Tucuruvi;Norte;;-23.480446;-46.588586;Loja Física;2024-11-22;2024-07-16;9;13916;Sim;
CLI-0226;Nutrivida Espaço Estético;Clínica Estética;Santo André;Sul (ABC);01751-133;-23.652988;-46.540267;Loja Física;2023-11-18;2025-04-08;13;8782;Não;
CLI-0227;Pura Atacado de Suplementos;Distribuidor de Suplementos;Carapicuíba;Oeste (fora RMSP central);08811-084;-23.521170;-46.830283;Marketplace;2025-04-04;2026-05-20;4;1061;Não;
CLI-0228;Renove Clínica de Estética;Clínica Estética;Diadema;Sul (ABC);01954-384;-23.694095;-46.631526;Loja Física;2026-03-31;2024-11-17;2;-1240;Sim;Aumentou pedido
CLI-0229;Bioforma House Nutrition;Loja de Suplementos;Diadema;Sul (ABC);;-23.700210;-46.619355;Indicação;2025-11-30;2024-11-29;25;11106;Não;
CLI-0230;Harmonia Academia;Academia / Personal Trainer;São Bernardo do Campo;Sul (ABC);08585-774;-23.708589;-46.579556;Marketplace;2024-04-18;2026-03-14;26;44091;Sim;Retorno positivo
CLI-0231;Vitalis Sports Nutrition;Loja de Suplementos;Cotia;Oeste (fora RMSP central);08842-415;-23.619242;-46.919261;Marketplace;2023-07-17;;0;0;Não;
CLI-0232;Saúde Plena Clínica Médica;Consultório Médico;Perus;Norte (fora RMSP central);01063-800;-23.398469;-46.755310;Indicação;2024-12-15;;0;0;Não;
CLI-0233;Harmonia House Nutrition;Loja de Suplementos;Campo Belo;Sul;01935-447;-23.637713;-46.683651;Marketplace;2026-03-11;;0;0;Não;
CLI-0234;Equilíbrio Espaço Estético;Clínica Estética;santo amaro  ;Sul;04010-894;-23.668426;-46.711153;Loja Física;2026-01-29;2025-12-23;8;6336;Não;
CLI-0235;Nutrivida Clínica Nutricional;Nutricionista;Bela Vista;Centro;05728-091;-23.579502;-46.643600;Marketplace;2025-03-03;2025-07-10;19;85038;Sim;Retorno positivo
CLI-0236;BemStar House Nutrition;Loja de Suplementos;Santo André;Sul (ABC);06434-974;-23.679878;-46.529992;Indicação;2024-03-19;2026-06-26;17;50767;Não;
CLI-0237;Raiz Atacado de Suplementos;Distribuidor de Suplementos;Pinheiros;Oeste;06588-119;-23.568933;-46.684014;Loja Física;2024-07-05;;0;0;Não;
CLI-0238;Origem House Nutrition;Loja de Suplementos;Diadema;Sul (ABC);04327-426;-23.700788;-46.633471;Distribuidor;2026-02-14;2024-07-30;8;7163;Não;
CLI-0239;Renove Consultório de Nutrição;Nutricionista;Guaianases;Leste;;-23.532737;-46.397141;Indicação;2025-08-24;2026-05-24;6;8057;Não;
CLI-0240;Origem Studio Fitness;Academia / Personal Trainer;Carapicuíba;Oeste (fora RMSP central);05395-272;-23.529775;-46.826662;Indicação;2025-06-25;2025-07-02;4;11518;Sim;Aumentou pedido
CLI-0241;Harmonia Suplementos;Loja de Suplementos;Ipiranga;Sul;03959-323;-23.592761;-46.618892;Loja Física;2024-03-28;2026-02-19;6;13855;Sim;Aumentou pedido
CLI-0242;Ápice Drogaria;Farmácia;Ipiranga;Sul;01978-423;-23.603968;-46.604351;Loja Física;2025-11-04;2025-04-15;9;3850;Não;
CLI-0243;Cuidar Clínica Médica;Consultório Médico;Cotia;Oeste (fora RMSP central);01996-422;-23.589386;-46.913137;Distribuidor;2024-02-10;2026-04-06;7;43403;Não;
CLI-0244;Nutrivida Consultório Médico;Consultório Médico;Tucuruvi;Norte;01585-544;-23.489135;-46.603839;Marketplace;2025-10-09;;0;0;Não;
CLI-0245;Essência Clínica Nutricional;Nutricionista;Santo Amaro;Sul;07031-831;-23.653195;-46.709128;Distribuidor;2024-06-19;2026-06-18;1;238;Não;
CLI-0246;BemStar Sports Nutrition;Loja de Suplementos;Jabaquara;Sul;03325-129;-23.656687;-46.638470;Indicação;2024-03-30;2024-12-08;22;2105;Não;
CLI-0247;Origem Clínica Médica;Consultório Médico;Jabaquara;Sul;07236-259;-23.650445;-46.633397;Indicação;2023-12-27;2026-06-13;12;26937;Não;
CLI-0248;Vitalis Consultório Médico;Consultório Médico;Liberdade;Centro;06365-970;-23.569749;-46.630069;Distribuidor;2026-02-07;2024-12-18;6;1801;Sim;Retorno positivo
CLI-0249;Cuidar Clínica Médica;Consultório Médico;Pinheiros;Oeste;07024-436;-23.553059;-46.693163;Marketplace;2024-11-08;2025-05-25;14;43077;Sim;Retorno positivo
CLI-0250;Equilíbrio Consultório de Nutrição;Nutricionista;Lapa;Oeste;05429-473;-23.515229;-46.704758;Indicação;2024-12-17;;0;0;Não;
CLI-0251;Viva Clínica Médica;Consultório Médico;Moema;Sul;02213-601;-23.603713;-46.668955;Distribuidor;2023-08-05;2026-04-28;3;48059;Sim;Sem retorno
CLI-0252;Nutrivida Consultório Médico;Consultório Médico;Mogi das Cruzes;Leste (fora RMSP central);02966-500;-23.520435;-46.191849;Loja Física;2026-03-30;2024-10-29;7;23821;Não;
CLI-0253;Harmonia Treinamento Funcional;Academia / Personal Trainer;Vila Ré;Leste;06270-594;-23.544546;-46.513240;Indicacao;2025-06-02;2024-10-24;11;29206;Não;
CLI-0254;Harmonia Atacado de Suplementos;Distribuidor de Suplementos;Pinheiros;Oeste;04364-762;-23.575948;-46.685832;Distribuidor;2025-08-17;2025-05-08;1;29013;Sim;
CLI-0255;Raiz Sports Nutrition;Loja de Suplementos;Cotia;Oeste (fora RMSP central);08740-529;-23.600110;-46.929877;Loja Física;2026-02-20;2026-04-29;26;2596;Sim;Aumentou pedido
CLI-0256;Movimento Consultório de Nutrição;Nutricionista;Santo Amaro;Sul;05801-313;-23.648089;-46.699890;Distribuidor;2024-01-10;2025-12-03;30;23755;Não;
CLI-0257;Bioforma Clínica Médica;Consultório Médico;Cotia;Oeste (fora RMSP central);01617-740;-23.614280;-46.905465;Distribuidor;2025-06-22;2025-02-13;20;73463;Não;
CLI-0258;Novo Ciclo Farmácia de Manipulação;Farmácia;Liberdade;Centro;04448-274;-23.565643;-46.619898;Indicação;2025-03-20;;0;0;Não;
CLI-0259;Equilíbrio Clínica Nutricional;Nutricionista;Santo Amaro;Sul;08436-974;-23.659464;-46.695300;Marketplace;2024-11-25;2025-12-22;8;12562;Sim;Aumentou pedido
CLI-0260;Cuidar Espaço Estético;Clínica Estética;São Miguel Paulista;Leste;05610-586;-23.480354;-46.459267;Distribuidor;2025-11-29;2026-04-05;18;42994;Não;
CLI-0261;Equilíbrio Drogaria;Farmácia;Mogi das Cruzes;Leste (fora RMSP central);01154-913;-23.537834;-46.184433;Distribuidor;2026-05-10;2025-05-12;26;6284;Não;
CLI-0262;Novo Ciclo Farmácia;Farmácia;Tucuruvi;Norte;07037-672;-23.486730;-46.597305;Marketplace;2025-12-16;2025-10-28;13;137;Sim;Retorno positivo
CLI-0263;Foco Treinamento Funcional;Academia / Personal Trainer;Pinheiros;Oeste;04428-132;-23.555176;-46.704958;Marketplace;2024-04-26;;0;0;Não;
CLI-0264;Nutrivida Sports Nutrition;Loja de Suplementos;Santo Amaro;Sul;06376-256;-23.653868;-46.726870;Indicação;2024-08-25;2025-10-13;13;23222;Sim;
CLI-0265;Renove Clínica Nutricional;Nutricionista;São Miguel Paulista;Leste;04084-255;-23.512918;-46.449421;Loja Física;2026-04-22;2026-01-24;13;2412;Não;
CLI-0266;Nutrivida Atacado de Suplementos;Distribuidor de Suplementos;Itaquaquecetuba;Leste (fora RMSP central);05761-594;-23.488383;-46.362561;Indicação;2024-11-27;2024-09-20;21;49689;Sim;Retorno positivo
CLI-0267;Alma Clínica Nutricional;Nutricionista;Moema;Sul;;-23.607326;-46.660280;Marketplace;2025-03-13;2025-06-30;30;12845;Sim;Aumentou pedido
CLI-0268;Nutrivida Consultório Médico;Consultório Médico;Vila Mariana;Sul;03045-388;-23.572735;-46.648511;Indicação;2024-02-09;2025-06-27;27;62614;Não;
CLI-0269;Pura Nutrição;Nutricionista;Osasco;Oeste (fora RMSP central);08858-883;-23.526166;-46.805161;Indicação;2023-12-19;;0;0;Não;
CLI-0270;Saúde Plena Consultório Médico;Consultório Médico;Santana;Norte;08723-397;-23.497926;-46.632530;Indicação;2023-09-09;2024-07-16;29;40325;Não;
CLI-0271;Harmonia Estética;Clínica Estética;Osasco;Oeste (fora RMSP central);03723-779;-23.525728;-46.795632;Loja Física;2024-09-01;2026-06-14;26;50569;Não;
CLI-0272;Renove Farmácia de Manipulação;Farmácia;Tatuapé;Leste;08202-770;-23.546705;-46.562270;Loja Física;2025-06-09;2024-08-21;26;1853;Não;
CLI-0273;Renove Clínica Médica;Consultório Médico;Santo Amaro;Sul;05985-181;-23.668894;-46.703622;Marketplace;2024-01-07;;0;0;Não;
CLI-0053;Foco Farmácia de Manipulação;Farmácia;Santo Amaro;Sul;04854-605;-23.637826;-46.696546;Indicação;2023-07-08;2025-07-05;29;61174;Não;
CLI-0275;Ápice Clínica de Estética;Clínica Estética;Vila Mariana;Sul;02066-106;-23.595053;-46.624459;Indicação;2025-12-26;2025-06-11;13;137;Não;
CLI-0276;Essência Suplementos;Loja de Suplementos;Diadema;Sul (ABC);06885-332;-23.691245;-46.620136;Loja Física;2023-08-28;2024-07-28;28;1123;Sim;
CLI-0277;Renove Studio Fitness;Academia / Personal Trainer;Santana;Norte;02949-900;-23.486475;-46.645996;Marketplace;2023-07-03;2024-10-26;20;89271;Sim;Sem retorno
CLI-0278;Essência Consultório de Nutrição;Nutricionista;Liberdade;Centro;01291-969;-23.555586;-46.619414;Distribuidor;2026-05-14;;0;0;Não;
CLI-0279;Origem Treinamento Funcional;Academia / Personal Trainer;Vila Mariana;Sul;04949-778;-23.580662;-46.626699;Distribuidor;2025-08-14;2025-09-02;29;11713;Sim;
CLI-0280;Movimento Drogaria;Farmácia;Campo Belo;Sul;01011-653;-23.616870;-46.677950;Indicação;2026-05-22;2026-06-29;29;90852;Sim;Retorno positivo
CLI-0281;BemStar Farmácia;Farmácia;Cotia;Oeste (fora RMSP central);06494-992;-23.595207;-46.906554;Marketplace;2026-01-10;2024-10-05;9;1931;Não;
CLI-0282;Essência Estética;Clínica Estética;Campo Belo;Sul;;-23.625068;-46.657975;Loja Física;2025-01-19;2025-09-04;22;30209;Sim;Retorno positivo
CLI-0283;Foco Clínica Médica;Consultório Médico;Guaianases;Leste;02454-354;-23.546901;-46.400334;Marketplace;2024-08-09;2026-06-15;19;632;Não;
CLI-0284;Novo Ciclo Farmácia de Manipulação;Farmácia;Santo Amaro;Sul;08089-600;-23.663753;-46.716997;loja fisica;2026-05-04;2025-10-18;6;36904;Sim;
CLI-0285;BemStar Farmácia de Manipulação;Farmácia;Tatuapé;Leste;07555-473;-23.536341;-46.593105;Distribuidor;2026-05-07;2026-04-13;12;38837;Não;
CLI-0286;Bioforma Clínica Médica;Consultório Médico;Tatuapé;Leste;08809-364;-23.538210;-46.588387;Marketplace;2023-09-07;2025-02-12;7;54113;Sim;Retorno positivo
CLI-0287;Ápice Sports Nutrition;Loja de Suplementos;Diadema;Sul (ABC);08779-985;-23.672020;-46.632463;Indicação;2025-09-15;2025-07-20;23;6159;Sim;Aumentou pedido
CLI-0288;Foco Clínica Médica;Consultório Médico;Guaianases;Leste;05440-318;-23.562789;-46.417954;Marketplace;2026-02-22;2024-08-16;28;595;Sim;Retorno positivo
CLI-0289;Movimento House Nutrition;Loja de Suplementos;Guarulhos;Norte (fora RMSP central);07687-235;-23.438367;-46.523863;Distribuidor;2024-10-11;2025-01-02;17;27847;Não;
CLI-0290;Ápice Treinamento Funcional;Academia / Personal Trainer;Bela Vista;Centro;06835-494;-23.568299;-46.665038;Distribuidor;2024-06-04;2024-12-24;25;4272;Sim;Aumentou pedido
CLI-0291;Novo Ciclo Clínica Médica;Consultório Médico;Tucuruvi;Norte;06392-754;-23.481126;-46.603160;Indicação;2025-12-09;2024-11-28;22;25863;Não;
CLI-0292;Cuidar Clínica Médica;Consultório Médico;Tucuruvi;Norte;07848-809;-23.480878;-46.598801;Distribuidor;2025-07-26;2025-11-24;4;3032;Sim;Retorno positivo
CLI-0293;Ápice Clínica Médica;Consultório Médico;Guarulhos;Norte (fora RMSP central);02551-063;-23.448382;-46.545005;Marketplace;2025-09-02;;0;0;Não;
CLI-0294;Vitalis Farmácia;Farmácia;Mogi das Cruzes;Leste (fora RMSP central);02277-713;-23.512025;-46.205074;Distribuidor;2023-09-21;2025-08-02;19;33394;Não;
CLI-0295;Equilíbrio Consultório de Nutrição;Nutricionista;Cotia;Oeste (fora RMSP central);06439-406;-23.616177;-46.913477;Distribuidor;2025-12-22;2025-02-05;17;16672;Não;
CLI-0296;BemStar Drogaria;Farmácia;Guarulhos;Norte (fora RMSP central);04308-807;-23.461773;-46.524297;Distribuidor;2025-03-29;2024-10-09;24;5745;Sim;Aumentou pedido
CLI-0297;Pura Studio Fitness;Academia / Personal Trainer;Ipiranga;Sul;01519-991;-23.583124;-46.607354;Indicação;2025-08-14;2024-10-25;23;6287;Não;
CLI-0298;Origem Farmácia;Farmácia;Campo Belo;Sul;01439-448;-23.624716;-46.670475;Indicação;2024-06-09;2024-09-15;6;6373;Não;
CLI-0299;Viva Clínica Médica;Consultório Médico;Vila Ré;Leste;04088-063;-23.538999;-46.515152;Indicação;2023-07-17;;0;0;Não;
CLI-0300;Bioforma Espaço Estético;Clínica Estética;Bela Vista;Centro;05298-920;-23.570907;-46.671892;Distribuidor;2025-09-15;2026-03-31;2;47;Não;
CLI-0301;Alma Atacado de Suplementos;Distribuidor de Suplementos;Moema;Sul;;-23.594129;-46.662126;Indicação;2024-03-30;2025-11-08;18;36643;Sim;Aumentou pedido
CLI-0302;Bioforma House Nutrition;Loja de Suplementos;Santo Amaro;Sul;05148-444;-23.637947;-46.719100;Marketplace;2026-06-11;;0;0;Não;
CLI-0303;Essência House Nutrition;Loja de Suplementos;Vila Mariana;Sul;;-23.579107;-46.652689;Distribuidor;2026-03-14;2025-10-17;4;222;Sim;Retorno positivo
CLI-0304;Renove Academia;Academia / Personal Trainer;Guarulhos;Norte (fora RMSP central);02755-305;-23.446104;-46.532309;Distribuidor;2024-11-29;2026-04-07;14;436198;Sim;Aumentou pedido
CLI-0305;BemStar Clínica Médica;Consultório Médico;Guaianases;Leste;;-23.543475;-46.412375;Marketplace;2024-01-11;2026-03-20;2;2948;Não;
CLI-0306;Raiz Farmácia de Manipulação;Farmácia;Itaquera;Leste;04302-701;-23.529722;-46.450512;Indicação;2026-01-23;2025-09-01;6;39364;Não;
CLI-0307;Pura Drogaria;Farmácia;Ipiranga;Sul;01352-869;-23.602112;-46.605072;Distribuidor;2025-04-01;;0;0;Não;
CLI-0308;Prisma Clínica Médica;Consultório Médico;Osasco;Oeste (fora RMSP central);04945-421;-23.533505;-46.794880;Marketplace;2025-11-29;2026-05-31;15;73752;Sim;
CLI-0309;Vitalis Studio Fitness;Academia / Personal Trainer;Lapa;Oeste;06841-789;-23.515758;-46.685317;Loja Física;2024-11-12;2026-03-01;3;14833;Sim;Sem retorno
CLI-0310;Pura Sports Nutrition;Loja de Suplementos;Liberdade;Centro;07583-499;-23.550908;-46.631672;Marketplace;2023-10-19;2026-03-06;27;6705;Não;
CLI-0311;Saúde Plena Sports Nutrition;Loja de Suplementos;Vila Mariana;Sul;;-23.577100;-46.634365;Loja Física;2024-12-08;2025-03-08;11;48736;Sim;Sem retorno
CLI-0312;Ápice Consultório Médico;Consultório Médico;Vila Mariana;Sul;03654-358;-23.576805;-46.657266;Indicação;2023-08-19;2026-03-31;10;14258;Não;
CLI-0313;Cuidar Atacado de Suplementos;Distribuidor de Suplementos;Santo Amaro;Sul;02057-514;-23.652021;-46.712598;Marketplace;2023-09-27;2025-09-01;14;18990;Sim;Aumentou pedido
